Number,商品名,料金（円）
2203,マルゲリータピザ（バッファローモッツァレラ・ダブル）,364
2208,ソーセージピザ,364
2206,コーンピザ,364
2204,きのこと野菜のピザ,364
2101,ミートソースドリア,273
2103,半熟卵のミートソースドリア,319
2108,焼チーズミートソースドリア,319
2110,たらことポップコーンシュリンプのドリア,364
2115,ポップコーンシュリンプとたらこのクリームグラタン（全粒粉）,391
2305,カルボナーラ,455
2318,半熟卵のカルボナーラ,500
2328,イカ墨スパゲッティ,455
2301,たらこスパゲッティ,364
2320,たらことエビのスパゲッティ,491
2306,ミートソーススパゲッティ,364
2316,半熟卵のミートソーススパゲッティ,410
2310,ボンゴレビアンコ,455
2304,パルマ風スパゲッティ,364
2321,きのことほうれん草のクリームスパゲッティ,546
2303,ペペロンチーノ,273
2317,半熟卵のペペロンチーノ,319
2325,ペンネアラビアータ（全粒粉）,391
1202,小エビのサラダ,319
1209,チキンのサラダ,319
1205,わかめのサラダ,319
5305,サイゼリヤドレッシング（500ml）,463
1307,オニオンスープ（ズッパ）,273
1301,コーンクリームスープ,137
1305,田舎風ミネストローネ,273
3113,ポッロ・ロッソ フォッカチオ,228
3114,チーズフォッカチオ,228
3111,ガーリックフォッカチオ,182
3110,フォッカチオ,137
3112,シナモンフォッカチオ,182
1403,ほうれん草のソテー,182
1413,キャロットラペ,182
1425,グリーンピースの温サラダ（卵とグランモラビアチーズ）,182
1417,バッファローモッツァレラのカプレーゼ,391
3206,イタリアンプリン,228
3205,ミルクジェラート,228
3201,ティラミス,273
3213,トリフアイスクリーム,319
3402,グラスワイン（赤）,91
3401,グラスワイン（白）,91
3404,デキャンタ（小）,182
3403,デキャンタ（白・小）,182
3408,デキャンタ（大）,364
3405,デキャンタ（白・大）,364
5101,セットドリンクバー,182
5102,キッズドリンクバー,91
5103,ドリンクバー単品,273
